vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,year_stolen,vehicle_age,date_stolen,location_id,day_stolen
1,Trailer,623,2021,BST2021D,Silver,2021,0,05-11-2021,102,Friday
2,Boat Trailer,623,2021,OUTBACK BOATS FT470,Silver,2021,0,13-12-2021,105,Monday
3,Boat Trailer,623,2021,ASD JETSKI,Silver,2022,1,13-02-2022,102,Sunday
4,Trailer,623,2021,MSC 7X4,Silver,2021,0,13-11-2021,106,Saturday
5,Trailer,623,2018,D-MAX 8X5,Silver,2022,4,10-01-2022,102,Monday
6,Roadbike,636,2005,YZF-R6T,Black,2021,16,31-12-2021,102,Friday
7,Trailer,623,2021,CAAR TRANSPORTER,Silver,2021,0,12-11-2021,114,Friday
8,Boat Trailer,623,2001,BOAT,Silver,2022,21,22-02-2022,109,Tuesday
9,Trailer,514,2021,"7X4-6"" 1000KG",Silver,2022,1,25-02-2022,115,Friday
10,Trailer,514,2020,8X4 TANDEM,Silver,2022,2,03-01-2022,114,Monday
11,Trailer,623,2018,HOMEBUILT,Silver,2021,3,15-10-2021,108,Friday
12,Trailer,538,2018,BRENT SMITH TRAILERS,Silver,2022,4,28-02-2022,102,Monday
13,Moped,629,2004,ET2,Black,2021,17,19-12-2021,102,Sunday
14,Moped,550,2007,TODAY,Blue,2022,15,23-01-2022,102,Sunday
15,Roadbike,611,2007,DL650,Black,2022,15,28-02-2022,101,Monday
16,Trailer,623,2021,JOBMATE,Silver,2022,1,08-02-2022,109,Tuesday
17,Trailer,623,2021,BSTB85B,Silver,2021,0,10-10-2021,102,Sunday
18,Boat Trailer,623,2004,BOAT,White,2021,17,07-10-2021,104,Thursday
19,Trailer,623,2014,DOMESTIC TRAILER,White,2022,8,24-02-2022,104,Thursday
20,Boat Trailer,623,2018,APS SEADOO,Silver,2021,3,08-11-2021,114,Monday
21,Roadbike,625,2002,THUNDERBIRD,Silver,2022,20,11-02-2022,101,Friday
22,Trailer,538,2000,BRENT SMITH TRAILERS,Silver,2021,21,22-11-2021,104,Monday
23,Trailer,623,2015,LOCAL,Silver,2022,7,27-01-2022,114,Thursday
24,Trailer - Heavy,623,2021,CT DIG 25,Silver,2021,0,12-11-2021,102,Friday
25,Trailer,623,2018,CHOOKS 2.4X1.6 TRANS,Silver,2021,3,08-10-2021,106,Friday
26,Trailer,623,2017,EASY TILT,Silver,2022,5,04-03-2022,108,Friday
27,Trailer,623,2018,IFOR WILLIAMS CT177,Silver,2022,4,27-02-2022,103,Sunday
28,Trailer,623,2018,CONDOR,Silver,2022,4,01-02-2022,109,Tuesday
29,Trailer,623,2018,HOMEBUILT,Silver,2021,3,01-11-2021,104,Monday
30,Trailer,623,2018,PRO COMMERCIAL,Silver,2021,3,21-12-2021,102,Tuesday
31,Trailer,623,2018,FACTORY,Grey,2022,4,03-01-2022,102,Monday
32,Trailer,549,1998,TRAILER,Green,2021,23,21-10-2021,114,Thursday
33,Boat Trailer,623,2017,JFK JETSKI,Grey,2022,5,15-02-2022,104,Tuesday
34,Trailer,623,2021,BST 2021D,Silver,2022,1,05-01-2022,102,Wednesday
35,Trailer,514,2021,10X5 TANDEM,Silver,2022,1,05-04-2022,114,Tuesday
